SDFB Person ID,Display Name,Gender,Historical Significance,Extant Birth Year,Extant Death Year,,,
10005815,James Hepburn,male,orientalist,1573,1623,,,
10007183,John Laurence,male,writer on gardening,1668,1732,,,
10005953,Joseph Hill,male,nonconformist minister,1625,1707,,,
10011043,Andrew Shilling,male,naval officer in the East India Company,1511,1621,,,
10004471,Sir John Forster,male,administrator and soldier,1515,1602,,,
10010838,John Scudamore,male,diplomat and politician,1601,1671,,,
10006834,Gilbert Kennedy,male,nobleman,1541,1576,,,
10010293,Thomas Ridgeway,male,administrator and politician,1565,1632,,,
10007984,Thomas Marow,male,lawyer,1460,1505,,,
10008175,Brian Melbancke,male,writer,1490,1600,,,
10005954,Joseph Hill,male,Presbyterian minister,1667,1729,,,
10013018,William Wintersel,male,actor,1569,1679,,,
10002264,David Chalmers of Ormond,male,historian and judge,1533,1592,,,
10003536,Nicholas Dixon,male,miniature painter,1645,1708,,,
10006282,Lord William Howard,male,antiquary and landowner,1563,1640,,,
10006721,Jacob Jordaens,male,NA,1593,1678,,,
10004637,Mary Gadbury,female,,1619,1729,,,
10000491,Thomas Bagard,male,civil lawyer and divine,1434,1544,,,
10012589,John Watson,male,college head,1427,1537,,,
10007404,James Ley,male,naval officer,1618,1665,,,
10007589,Sir Walter Long,male,politician,1591,1672,,,
10006692,John Jones,male,copyist and manuscript collector,1585,1658,,,
10006740,George Joyliffe,male,anatomist and physician,1621,1658,,,
10011556,James Stewart,male,magnate and murder victim,1565,1592,,,
10007758,Alexander MacDonald of Dunyvaig and the Glens,male,clan chief,1426,1536,,,
10011605,William Stonestreet,male,antiquary,1659,1716,,,
10011416,Christopher St Lawrence,male,soldier and informer,1509,1619,,,
10010074,William Rainolds,male,Roman Catholic priest and author,1544,1594,,,
10003152,Thomas Cure,male,saddler,1478,1588,,,
10006508,Gilbert Jackson,male,portrait painter,1621,1643,,,
10009329,Sir Thomas Parker,male,judge,1695,1784,,,
10000659,John Barlow,male,,1517,1552,,,
10008677,Daniel Mytens,male,painter,1590,1647,,,
10012689,Thomas Wentworth,male,nobleman,1501,1551,,,
10007732,Uilliam Mac Cairteain,male,poet and scribe,1667,1724,,,
10010068,Robert Raikes,male,printer and newspaper proprietor,1690,1757,,,
10008412,Hugh Montgomery,male,army officer,1613,1669,,,
10011495,Thomas Starkey,male,humanist and royal servant,1498,1538,,,
10009026,Rory O'Donnell Earl of Tyrconnell,male,magnate and soldier,1574,1608,,,
10002634,John Colbatch,male,Church of England clergyman and university teacher,1665,1748,,,
10008411,Hugh Montgomery,male,nobleman,1531,1585,,,
10011414,Oliver St John,male,lawyer and politician,1598,1673,,,
10007739,Hugh Oge Mac Mahon,male,conspirator,1606,1644,,,
10011498,Sir John Stawell,male,royalist army officer,1599,1662,,,
10003079,Sir Robert Crosse,male,naval commander,1547,1611,,,
10007546,Sir George Lockhart of Carnwath,male,advocate and judge,1630,1689,,,
10011485,Edward Staples,male,bishop of Meath,1490,1558,,,
10005493,John Hanmer,male,Presbyterian minister,1642,1707,,,
10001411,Dorothy Boyle,female,portrait painter and caricaturist,1699,1758,,,
10001514,William Brereton,male,courtier and administrator,1487,1536,,,
10005957,Oliver Hill,male,theologian and government agent,1630,1702,,,
10005944,Aaron Hill,male,writer and entrepreneur,1685,1750,,,
10007719,Sir Charles Lyttelton,male,colonial governor and politician,1629,1716,,,
10010650,Robert Saltwood,male,author and Benedictine monk,1518,1538,,,
10005450,John Hamilton,male,Roman Catholic archbishop of St Andrews,1510,1571,,,
10008913,Bonham Norton,male,printer and bookseller,1565,1635,,,
10008563,Robert Mossom,male,Church of Ireland bishop of Derry,1617,1679,,,
10002266,James Chaloner,male,politician,1602,1660,,,
10013191,Joseph Wyeth,male,religious writer,1663,1731,,,
10012880,Sir Thomas Wilford,male,soldier,1530,1610,,,
10012848,Rowland Whyte,male,NA,1580,1607,,,
10007205,George Lawson,male,Church of England clergyman and political writer,1598,1678,,,
10002350,Maurice Chauncy,male,prior of Sheen Anglorum and martyrologist,1509,1581,,,
10008657,Sir Philip Musgrave,male,royalist army officer and local politician,1607,1678,,,
10002754,George Constantine,male,evangelical reformer,1500,1561,,,
10003171,Sir Thomas Cusack,male,lawyer and administrator,1505,1571,,,
10010294,Thomas Ridgley,male,physician,1576,1656,,,
10012197,Edward Tyson,male,physician and anatomist,1651,1708,,,
10005837,Lady Mary Herbert,female,speculator and mining entrepreneur,1686,1775,,,
10000030,Josephus Abudacnus,male,scholar of oriental languages,1595,1643,,,
10011019,Henry Sherfield,male,lawyer and iconoclast,1572,1634,,,
10009597,Hugh Peter,male,Independent minister,1598,1660,,,
10009845,George Porter,male,Jacobite conspirator and informer,1659,1728,,,
10004645,William Gager,male,Latin playwright and poet,1555,1622,,,
10005881,Martin Heton,male,bishop of Ely,1554,1609,,,
10011842,Richard Temple,male,politician and landowner,1675,1749,,,
10006676,Thomas Jollie the younger,male,Independent minister,1687,1764,,,
10009535,Mary Pennyman,female,,1630,1701,,,
10009742,Thomas Pitt,male,merchant and politician,1653,1726,,,
10006677,Timothy Jollie,male,NA,1656,1714,,,
10006667,John Johnston,male,scholar and poet,1565,1611,,,
10010610,Anthony Sadler,male,Church of England clergyman,1602,1643,,,
10007398,Thomas Lewis,male,religious controversialist,1689,1737,,,
10007347,John Leslie,male,politician,1600,1641,,,
10008474,Samuel More,male,parliamentarian army officer,1594,1662,,,
10007759,Alexander Macdonald of Glencoe,male,clan chief and victim of massacre,1582,1692,,,
10005938,Susanna Highmore,female,poet,1689,1750,,,
10010619,George Sale,male,orientalist,1696,1736,,,
10008472,Richard More,male,religious writer and politician,1575,1643,,,
10001620,Hugh Broughton,male,divine and Hebraist,1549,1612,,,
10011020,Denis Sheridan,male,Church of Ireland clergyman,1610,1683,,,
10003720,Pierre Du Moulin,male,Reformed minister and religious controversialist,1568,1658,,,
10009027,Thomas O'Dowde,male,physician,1555,1665,,,
10004057,Epiphanius Evesham,male,"sculptor, painter, and metal-engraver",1570,1623,,,
10006437,John Huxham,male,physician,1692,1768,,,
10005958,Richard Hill,male,merchant,1508,1536,,,
10005813,James Hepburn,male,army officer in the Swedish and French services,1527,1637,,,
10001991,Colin Campbell of Glenorchy,male,,1499,1583,,,
10012174,Brian Twyne,male,antiquary,1581,1644,,,
10005878,John Hester,male,distiller and translator,1482,1592,,,
10004173,Thomas Fell,male,judge,1599,1658,,,
10006632,Christopher Johnson,male,Latin poet and schoolmaster,1536,1597,,,
10009712,Thomas Pierson,male,Church of England clergyman,1573,1633,,,
