SDFB Relationship ID,Person 1 ID,Person 2 ID,Original Confidence,Maximum Confidence
100136333,10007765,10009023,36,36
100136345,10007765,10011552,38,38
100136364,10007767,10010467,30,30
100136366,10007768,10007801,38,38
100136374,10007769,10009926,49,49
100136385,10007771,10010023,23,23
100136389,10007771,10012356,65,65
100136394,10007771,10012817,27,27
100136411,10007773,10009050,12,12
100136420,10007774,10007860,33,33
100136432,10007775,10009583,56,56
100136451,10007778,10011414,34,34
100136453,10007778,10011671,55,55
100136465,10007780,10011669,18,18
100136467,10007780,10011671,48,48
100136480,10007784,10008193,31,31
100136484,10007784,10008651,14,14
100136493,10007784,10011554,21,21
100136500,10007790,10012118,81,81
100136524,10007795,10012123,16,16
100136525,10007795,10012827,36,36
100136545,10007797,10012116,74,74
100136563,10007798,10010942,73,73
100136564,10007798,10011557,85,85
100136584,10007800,10012217,20,20
100136589,10007801,10007816,44,44
100136596,10007801,10008852,38,38
100136608,10007801,10013308,87,87
100136614,10007803,10007826,33,33
100136628,10007805,10007966,19,19
100136630,10007805,10009026,26,26
100136649,10007807,10008029,19,19
100136654,10007807,10008371,12,12
100136660,10007807,10010584,13,13
100136666,10007807,10011671,70,70
100136681,10007808,10008449,20,20
100136684,10007808,10008852,14,14
100136714,10007809,10011671,25,25
100136718,10007810,10007856,53,53
100136719,10007810,10008159,52,52
100136740,10007813,10009097,26,26
100136751,10007815,10007816,82,82
100136758,10007815,10012863,32,32
100136779,10007818,10012600,14,14
100136784,10007821,10008266,25,25
100136786,10007822,10011552,15,15
100136805,10007825,10007941,47,47
100136816,10007826,10008802,40,40
100136823,10007826,10010601,28,28
100136838,10007826,10011774,30,30
100136844,10007826,10012742,22,22
100136849,10007829,10007830,96,96
100136850,10007829,10008372,49,49
100136870,10007832,10011128,15,15
100136877,10007835,10008413,24,24
100136888,10007840,10011570,23,23
100136896,10007842,10009055,42,42
100136905,10007850,10011954,46,46
100136914,10007854,10011681,53,53
100136917,10007856,10010687,32,32
100136932,10007858,10011517,35,35
100136953,10007859,10012353,56,56
100136954,10007859,10012696,48,48
100136959,10007859,10013308,41,41
100136960,10007860,10009053,59,59
100136979,10007863,10011856,55,55
100136994,10007865,10009389,21,21
100137000,10007866,10009018,23,23
100137018,10007868,10009924,15,15
100137021,10007868,10010332,19,19
100137022,10007868,10010333,23,23
100137033,10007871,10012271,16,16
100137044,10007873,10008785,16,16
100137065,10007876,10011913,16,16
100137070,10007877,10011549,38,38
100137083,10007879,10009420,73,73
100137084,10007879,10010811,19,19
100137102,10007880,10010892,40,40
100137109,10007880,10011556,67,67
100137110,10007880,10011571,45,45
100137131,10007881,10009921,37,37
100137138,10007881,10010895,16,16
100120005,10006346,10013203,28,28
100120010,10006347,10008713,11,11
100120018,10006348,10011687,15,15
100120031,10006350,10010251,47,47
100120047,10006353,10013086,56,56
100120049,10006354,10006462,73,73
100120070,10006357,10006363,59,59
100120074,10006357,10011681,37,37
100120075,10006357,10012219,26,26
100120095,10006360,10007337,40,40
100120096,10006360,10007710,11,11
100120109,10006360,10011686,18,18
100120114,10006361,10009358,33,33
100120135,10006364,10007881,30,30
100120137,10006364,10008309,40,40
100120140,10006364,10009828,27,27
100120159,10006366,10011667,16,16
100120163,10006366,10013080,20,20
100120179,10006367,10011584,55,55
100120191,10006368,10010932,35,35
100120193,10006368,10011441,84,84
100120205,10006369,10011780,44,44
100120207,10006370,10006621,99,99
100120223,10006370,10009819,27,27
100120226,10006370,10010197,53,53
100120244,10006370,10013074,26,26
100120250,10006372,10008498,50,50
100120263,10006375,10006380,44,44
100120270,10006377,10006700,20,20
100120277,10006377,10011671,13,13
100120291,10006379,10007919,42,42
100120304,10006381,10008005,31,31
100120309,10006383,10006894,50,50
100120326,10006384,10009263,43,43
100120330,10006384,10012711,40,40
100120335,10006386,10006855,49,49
100120339,10006387,10006394,18,18
100120356,10006388,10012749,28,28
100120367,10006391,10010544,13,13
100120374,10006392,10011052,14,14
100120394,10006394,10006933,21,21
100120395,10006394,10007618,31,31
100120400,10006394,10009329,21,21
100120420,10006396,10006656,17,17
100120421,10006396,10006657,31,31
100120440,10006399,10011597,55,55
100120443,10006400,10006471,60,60
100120456,10006401,10006452,19,19
100120460,10006401,10007126,16,16
100120465,10006401,10008357,22,22
100120483,10006402,10009313,80,80
100120486,10006402,10011885,41,41
100120504,10006405,10011035,14,14
100120509,10006406,10006409,36,36
100120525,10006409,10007091,48,48
100120530,10006409,10010917,11,11
100120537,10006409,10012122,25,25
100120551,10006411,10010282,28,28
100120559,10006412,10006657,15,15
100120569,10006412,10008429,28,28
100120573,10006412,10008825,47,47
100120590,10006412,10011445,23,23
100120595,10006412,10011763,50,50
100120599,10006412,10011974,22,22
100120616,10006414,10011666,36,36
100120627,10006417,10007393,60,60
100120634,10006418,10006424,24,24
100120654,10006418,10012251,55,55
100120655,10006418,10012526,54,54
100120659,10006418,10012973,21,21
100120661,10006418,10013021,90,90
100120662,10006418,10013022,57,57
100120663,10006418,10013292,50,50
100120664,10006419,10006424,40,40
100120675,10006420,10008165,47,47
100120715,10006422,10008544,19,19
100120716,10006422,10008812,55,55
100120725,10006422,10013084,28,28
100120732,10006423,10007541,38,38
100120746,10006423,10009777,50,50
100120759,10006424,10009988,24,24
100120764,10006425,10007040,33,33
100120781,10006427,10010872,28,28
100120785,10006427,10011681,18,18
100120790,10006429,10012362,20,20
100120794,10006431,10006796,33,33
100120811,10006431,10010550,69,69
100120822,10006431,10012841,76,76
100120830,10006432,10006848,44,44
100120842,10006433,10006462,76,76
100120850,10006433,10009863,26,26
100120855,10006433,10011874,14,14
100120874,10006434,10009835,13,13
100120875,10006434,10009920,20,20
100120886,10006434,10011534,54,54
100120898,10006434,10013232,40,40
100120911,10006437,10012098,21,21
100120914,10006438,10006583,27,27
100120920,10006438,10007508,16,16
100120935,10006438,10011107,45,45
100120941,10006438,10011681,25,25
100120959,10006439,10012339,52,52
100120963,10006439,10012503,52,52
100120980,10006442,10006446,66,66
100120985,10006442,10007084,44,44
100120989,10006442,10007955,26,26
100121006,10006442,10011369,18,18
100121012,10006442,10011689,47,47
100121021,10006442,10012748,40,40
100121026,10006442,10013300,43,43
100121047,10006444,10008364,17,17
100121051,10006444,10008517,17,17
100121052,10006444,10008519,15,15
100121073,10006444,10010543,14,14
100121076,10006444,10010805,22,22
100121091,10006444,10011783,16,16
100121092,10006444,10011817,11,11
100121112,10006444,10013291,20,20
100121117,10006445,10006450,56,56
100121126,10006445,10006731,22,22
100121138,10006445,10007327,25,25
100121140,10006445,10007541,34,34
100121156,10006445,10008026,12,12
100121168,10006445,10008427,13,13
100121177,10006445,10008721,15,15
100121182,10006445,10008787,43,43
100121194,10006445,10009265,23,23
100121203,10006445,10009559,22,22
100121221,10006445,10010543,46,46
100121222,10006445,10010553,22,22
100121242,10006445,10011326,11,11
100121244,10006445,10011399,42,42
100121247,10006445,10011532,17,17
100121256,10006445,10011690,13,13
100121268,10006445,10012156,22,22
100121284,10006445,10012463,12,12
100121286,10006445,10012497,20,20
100121307,10006445,10013061,30,30
100121311,10006445,10013291,59,59
100121312,10006445,10013300,14,14
100121333,10006446,10008787,16,16
100121338,10006446,10009310,14,14
100121351,10006446,10011666,78,78
100121360,10006446,10012305,11,11
100121372,10006446,10013186,14,14
100121374,10006446,10013308,39,39
100121377,10006447,10006763,28,28
100121390,10006447,10009435,19,19
100121399,10006447,10010584,50,50
100121416,10006447,10011782,37,37
100121428,10006447,10013143,20,20
100121435,10006448,10007374,26,26
100121442,10006448,10010793,27,27
100121454,10006449,10008398,33,33
100121463,10006449,10010793,65,65
100121476,10006449,10011777,45,45
100121482,10006449,10013101,36,36
100121490,10006450,10010872,49,49
100121502,10006452,10007079,23,23
100121507,10006452,10008515,20,20
100121516,10006452,10011671,27,27
100121528,10006453,10012654,55,55
100121544,10006457,10008766,13,13
100121546,10006458,10006462,50,50
100121567,10006459,10006615,47,47
100121571,10006459,10006708,48,48
100121572,10006459,10006750,55,55
100121592,10006459,10007213,49,49
100121593,10006459,10007214,91,91
100121606,10006459,10007426,22,22
100121611,10006459,10007547,82,82
100121632,10006459,10007990,11,11
100121633,10006459,10008052,59,59
100121637,10006459,10008163,57,57
100121658,10006459,10008521,20,20
100121659,10006459,10008523,66,66
100121676,10006459,10009033,53,53
100121688,10006459,10009254,11,11
100121697,10006459,10009500,56,56
100121702,10006459,10009606,25,25
100121709,10006459,10009779,48,48
100121722,10006459,10010083,32,32
100121723,10006459,10010143,48,48
100121741,10006459,10010514,46,46
100121750,10006459,10010718,25,25
100121763,10006459,10010974,24,24
100121767,10006459,10011046,73,73
100121772,10006459,10011106,40,40
100121776,10006459,10011219,21,21
100121804,10006459,10011744,22,22
100121806,10006459,10011763,54,54
100121825,10006459,10011977,46,46
100121826,10006459,10011995,12,12
100121833,10006459,10012167,37,37
100121839,10006459,10012322,26,26
100121851,10006459,10012482,100,100
100121866,10006459,10012761,35,35
100121871,10006459,10012844,84,84
100121892,10006461,10007181,46,46
100121894,10006461,10008812,45,45
100121897,10006462,10006475,55,55
100121918,10006462,10007162,47,47
100121920,10006462,10007188,52,52
100121936,10006462,10007701,50,50
100121942,10006462,10007893,39,39
100121956,10006462,10008368,35,35
100121957,10006462,10008372,56,56
100121962,10006462,10008429,39,39
100121982,10006462,10009145,17,17
100121983,10006462,10009152,70,70
100122001,10006462,10009863,53,53
100122010,10006462,10010151,36,36
100122020,10006462,10010600,39,39
100122027,10006462,10010730,47,47
100122036,10006462,10010965,43,43
100122048,10006462,10011161,57,57
100122059,10006462,10011666,99,99
100122066,10006462,10011788,28,28
100122072,10006462,10011875,66,66
100122087,10006462,10012478,100,100
100122092,10006462,10012603,73,73
100122099,10006462,10012902,26,26
100122113,10006462,10013245,96,96
100122126,10006464,10013308,46,46
100122131,10006466,10008048,28,28
100122152,10006471,10009947,30,30
100122154,10006471,10010597,54,54
100122157,10006471,10011670,25,25
100122175,10006472,10008713,25,25
100122178,10006472,10010919,15,15
100122189,10006473,10007268,23,23
100122196,10006473,10011671,27,27
100122216,10006477,10008089,43,43
100122217,10006477,10008184,56,56
100122222,10006477,10010260,15,15
100122242,10006478,10010672,54,54
100122243,10006478,10011683,75,75
100122261,10006482,10009069,91,91
100122270,10006483,10006618,21,21
100122282,10006483,10007524,15,15
100122287,10006483,10008014,54,54
100122291,10006483,10008126,19,19
100122301,10006483,10009120,20,20
100122305,10006483,10009313,50,50
100122326,10006483,10010966,22,22
100122332,10006483,10011670,79,79
100122348,10006483,10012876,56,56
100122352,10006483,10013108,12,12
100122359,10006484,10007100,37,37
100122373,10006484,10012817,76,76
100122386,10006486,10009341,39,39
100122391,10006486,10011584,41,41
100122408,10006488,10011080,85,85
100122412,10006490,10011671,42,42
100122417,10006491,10008729,56,56
100122421,10006491,10012492,40,40
100122438,10006493,10011780,43,43
100122447,10006494,10007569,65,65
100122456,10006494,10011671,70,70
100122474,10006495,10011584,27,27
100122477,10006495,10013308,27,27
100122482,10006496,10012831,44,44
100122502,10006499,10007193,92,92
100122503,10006499,10007966,45,45
100122521,10006501,10011180,44,44
100122525,10006502,10008942,23,23
100122538,10006506,10011681,12,12
100122542,10006508,10011253,22,22
100122547,10006508,10012918,11,11
100122558,10006509,10011200,47,47
100122559,10006509,10011365,35,35
100122560,10006509,10011373,18,18
100122561,10006509,10011479,67,67
100122562,10006509,10011780,24,24
100122563,10006509,10012063,59,59
100122564,10006509,10012529,13,13
100122612,10006512,10012579,86,86
100122619,10006516,10013084,22,22
100122633,10006517,10011681,14,14
100122641,10006518,10008146,12,12
100122651,10006518,10009579,16,16
100122655,10006518,10011670,27,27
100122672,10006519,10009877,36,36
100122677,10006520,10006539,12,12
100122681,10006520,10006717,11,11
100122698,10006521,10006616,30,30
100122709,10006521,10010872,52,52
100122717,10006522,10010937,20,20
100122736,10006527,10009159,56,56
100122737,10006527,10009206,15,15
100122742,10006527,10012372,75,75
100122757,10006529,10009575,22,22
100122763,10006529,10010937,30,30
100122769,10006531,10007795,33,33
100122782,10006532,10011671,71,71
100122798,10006534,10012930,42,42
100122802,10006535,10012492,32,32
100122807,10006535,10012978,13,13
