SDFB Relationship ID,Person 1 ID,Person 2 ID,Original Confidence,Maximum Confidence
100200001,10011673,10010388,100,100
100200006,10050002,10006423,100,100
100200007,10050002,10002650,85,85
100200008,10006423,10009206,95,95
100200020,10050007,10050008,100,100
100200015,10002021,10011091,80,80
100200022,10050015,10012353,100,100
100200037,10050035,10001681,81,86
100200050,10050041,10000483,85,85
100200046,10002284,10002285,50,75
100200045,10050026,10010068,88,97
100200049,10050040,10000188,77,77
100200048,10050039,10002912,75,80
100200058,10050045,10004809,91,93
100200069,10050050,10006627,100,100
100200055,10050043,10006246,81,81
100200062,10003469,10011428,90,90
100200067,10050048,10006627,83,90
100200057,10050044,10004806,90,94
100200053,10050043,10006279,93,93
100200074,10050053,10050040,72,72
100200056,10050044,10004809,95,100
100200060,10006249,10002253,82,82
100200059,10006249,10006279,92,100
100200064,10050046,10012117,47,76
100200054,10050043,10002253,87,87
100200066,10008130,10002249,64,67
100200070,10050051,10003665,75,75
100200071,10050052,10003665,84,84
100200073,10050053,10000188,78,95
100200068,10050049,10006627,95,100
100200035,10012976,10012977,14,14
100200065,10002249,10013271,83,91
100200079,10050030,10050032,95,100
100200114,10050091,10001922,100,100
100200113,10050091,10001924,100,100
100200026,10050019,10004275,94,97
100200080,10001605,10012117,90,90
100200088,10050043,10002249,96,96
100200089,10050043,10006275,50,50
100200092,10050065,10050030,87,91
100200096,10050075,10000541,84,92
100200097,10050072,10010226,59,67
100200093,10050065,10050032,85,92
100200094,10050065,10010937,93,95
100200095,10050065,10005658,100,100
100200101,10050077,10012117,80,82
100200112,10050091,10000068,100,100
100200105,10050044,10050045,92,92
100200099,10050076,10011776,85,86
100200109,10050088,10001223,82,75
100200102,10050078,10011943,80,81
100200104,10050078,10012946,78,92
100200111,10050090,10008309,100,100
100200110,10050089,10008309,100,100
100200117,10050093,10008812,100,100
100200125,10050099,10009754,76,76
100200116,10050093,10050092,100,100
100200119,10050095,10007673,88,88
100200123,10050096,10005525,82,85
100200129,10003644,10011093,100,100
100200115,10050092,10008812,100,100
100200120,10050096,10000163,87,87
100200134,10011784,10010166,50,50
100200135,10050143,10009351,100,100
100200133,10010166,10050143,70,70
100200118,10011670,10003711,50,50
100200132,10050142,10007497,100,100
100200130,10050141,10008309,100,100
100200718,10005781,10006784,100,100
100200728,10011101,10011103,100,100
100200141,10050149,10009755,100,100
100200138,10050146,10009755,100,100
100200143,10050151,10009755,100,100
100200142,10050150,10009755,100,100
100200139,10050147,10009755,100,100
100200140,10050148,10009755,100,100
100200144,10050150,10000767,100,100
100200145,10050150,10050146,100,100
100200146,10050150,10050147,100,100
100200147,10050150,10050148,100,100
100200136,10009755,10009752,100,100
100200151,10050151,10050149,100,100
100200150,10050150,10009752,100,100
100200149,10050150,10050151,100,100
100200148,10050150,10050149,100,100
100200131,10009244,10050141,100,100
100200137,10009755,10000767,100,100
100200152,10050151,10050148,100,100
100200156,10050151,10009752,100,100
100200157,10050149,10050147,100,100
100200154,10050153,10003058,100,100
100200158,10050154,10004223,100,100
100200159,10050155,10002982,80,80
100200160,10050156,10004223,100,100
100200161,10004225,10004223,100,100
100200162,10004225,10004222,100,100
100200163,10050154,10004222,100,100
100200165,10050154,10013056,93,93
100200164,10050154,10050155,100,100
100200155,10050153,10003060,100,100
100200181,10050158,10003267,82,87
100200179,10050158,10005828,100,100
100200178,10050157,10050154,100,100
100200174,10050157,10050156,100,100
100200172,10004225,10050156,100,100
100200171,10050154,10050156,100,100
100200169,10050155,10050156,50,100
100200168,10050155,10004225,100,100
100200166,10050155,10004223,100,100
100200180,10050158,10003577,78,78
100200177,10050157,10004222,100,100
100200176,10050157,10004223,100,100
100200175,10050157,10004225,100,100
100200173,10050157,10050155,100,100
100200170,10050156,10004222,100,100
100200167,10050155,10004222,100,100
100200000,10050000,10009222,100,100
100200030,10050022,10003339,98,100
100200003,10050001,10005616,100,100
100200004,10050001,10005337,100,100
100200005,10050001,10009503,100,100
100200009,10050003,10004933,100,100
100200013,10002912,10012020,83,83
100200014,10002021,10012122,60,60
100200010,10050003,10004046,100,100
100200031,10012115,10005504,77,88
100200034,10050025,10000012,50,82
